,"('Ala', 'Zmax')","('Ala', 'Zmin')","('Ser', 'Zmax')","('Ser', 'Zmin')","('Gly', 'Zmax')","('Gly', 'Zmin')"
222,9,1,10,1,8,2
223,12,2,10,1,8,1
224,9,2,12,1,12,1
225,9,2,10,1,12,1
226,9,2,10,1,12,2
227,9,2,10,1,12,2
228,9,2,10,1,12,5
229,9,2,10,1,12,6
230,9,2,12,1,12,6
231,9,2,10,1,12,6
232,9,2,10,1,12,6
233,9,2,10,1,12,6
234,9,2,10,1,12,2
235,9,2,10,1,12,1
236,9,1,10,1,12,1
237,9,1,10,1,12,6
238,9,2,10,1,12,1
239,9,2,10,1,12,2
240,9,1,10,1,12,1
241,9,2,10,1,12,2
242,9,2,10,1,12,1
243,9,6,10,1,10,4
244,9,2,10,1,10,3
245,9,2,10,3,10,1
246,9,2,10,1,12,1
247,9,1,10,1,12,6
248,9,2,10,1,10,1
249,9,2,10,1,12,4
250,12,3,12,1,11,1
251,9,5,10,1,10,2
252,12,5,10,1,10,1
253,12,5,10,1,12,2
254,12,5,12,1,12,4
255,9,3,10,1,12,4
256,9,5,10,1,12,4
257,12,5,10,1,12,2
258,12,5,10,1,12,2
259,12,5,12,1,12,1
260,12,5,10,1,12,2
261,12,5,12,1,12,2
262,12,5,10,1,12,5
263,12,5,10,1,12,5
264,12,5,10,1,12,1
265,12,5,10,1,12,1
266,12,5,10,1,12,1
267,12,5,10,1,12,2
268,12,5,10,1,12,2
269,12,5,10,1,12,1
270,12,5,10,1,12,1
271,12,5,10,1,12,2
272,12,5,10,1,12,1
273,12,5,10,1,12,2
274,12,5,10,1,12,1
275,12,5,10,1,12,1
276,12,5,10,1,12,4
277,12,5,10,1,12,4
278,12,5,10,1,12,3
279,12,5,10,1,12,1
280,12,5,10,1,12,2
281,12,5,10,1,8,4
282,12,5,10,1,12,3
283,12,5,10,1,12,1
284,12,5,10,1,12,1
285,12,5,10,1,12,1
286,12,5,10,1,12,1
287,12,5,10,1,12,1
288,12,5,10,1,6,1
289,12,5,10,1,6,1
290,12,5,10,1,6,1
291,12,5,10,1,12,1
292,12,5,10,1,12,1
293,12,5,10,1,12,1
294,12,5,10,1,12,1
295,12,5,10,1,10,1
296,12,5,10,1,9,1
297,12,5,10,1,9,1
298,12,5,10,1,9,1
299,12,5,10,1,10,1
300,12,5,10,1,10,1
301,12,6,10,1,10,1
302,12,5,10,1,10,1
303,12,6,10,1,10,4
304,12,6,10,1,10,1
305,12,6,10,1,10,4
306,12,6,10,1,10,4
307,12,6,10,1,11,4
308,12,6,10,1,10,4
309,12,6,10,1,11,3
310,12,6,10,1,12,2
311,12,6,10,3,10,1
312,12,6,10,1,10,2
313,12,6,10,1,10,1
314,12,6,10,1,12,4
315,12,6,10,1,12,4
316,12,6,10,1,12,4
317,12,6,10,1,10,4
318,12,6,10,1,12,3
319,12,6,10,1,10,4
320,12,6,10,1,10,1
321,12,6,10,1,10,1
322,12,6,10,1,12,1
323,12,6,12,1,10,4
324,12,6,12,1,10,6
325,12,6,12,1,10,4
326,12,6,12,1,11,4
327,12,6,12,1,12,5
328,12,6,10,1,10,1
329,12,6,10,1,10,1
330,12,6,10,1,10,4
331,12,6,10,1,10,4
332,12,6,10,1,10,4
333,12,6,10,1,10,5
334,12,6,10,1,10,4
335,12,6,10,1,10,3
336,12,6,10,1,10,4
337,12,6,10,1,10,1
338,12,6,10,1,11,3
339,12,6,10,1,10,4
340,12,6,10,1,10,1
341,12,6,10,1,10,4
342,12,6,10,1,10,1
343,12,6,10,1,12,4
344,12,6,10,1,10,1
345,12,6,10,1,10,4
346,12,6,10,1,10,4
347,12,6,10,1,11,4
348,12,6,10,1,11,4
349,12,6,10,1,12,4
350,12,6,10,1,10,1
351,12,6,10,1,10,4
352,12,6,10,1,9,1
353,12,6,10,1,9,1
354,12,6,10,1,9,1
355,12,6,10,1,9,4
356,12,6,10,1,9,3
357,12,6,10,1,9,4
358,12,6,10,1,9,4
359,12,6,10,1,9,4
360,12,6,12,1,9,4
361,12,6,10,1,9,1
362,12,6,10,1,9,4
363,12,6,12,1,9,4
364,12,6,10,1,9,1
365,12,6,10,1,9,1
366,12,6,10,1,9,3
367,12,6,10,1,9,4
368,12,6,10,1,9,4
369,12,6,10,1,9,4
370,12,6,10,1,9,1
371,12,6,10,1,9,4
372,12,6,10,1,9,3
373,12,6,10,1,9,4
374,12,6,10,1,9,4
375,12,6,10,1,9,4
376,12,6,10,1,9,5
377,12,6,10,1,9,5
378,12,6,10,1,12,5
379,12,6,12,1,10,1
380,12,6,12,1,8,1
381,12,6,10,1,7,1
382,12,6,10,1,7,1
383,12,6,12,1,9,1
384,12,6,12,1,12,1
385,12,6,10,1,12,3
386,12,6,10,1,12,2
387,12,6,12,1,12,3
388,12,6,12,1,12,1
389,12,6,12,1,12,2
390,12,6,12,1,12,1
391,12,6,12,1,12,1
392,12,6,12,1,12,1
393,12,6,12,1,12,5
394,12,6,12,1,11,4
395,12,6,12,1,12,1
396,12,6,12,1,12,1
397,12,6,10,1,12,1
398,12,6,10,1,12,1
399,12,6,10,3,12,1
400,12,6,10,1,12,2
401,12,6,10,1,12,1
402,12,6,10,1,12,2
403,12,6,10,3,12,1
404,12,6,10,3,12,1
405,12,6,10,1,12,1
406,12,6,10,1,12,1
407,12,6,10,1,12,1
408,12,6,10,1,12,3
409,12,6,10,1,10,1
410,12,6,10,1,10,1
411,12,6,10,1,12,4
412,12,6,12,1,12,6
413,12,6,12,1,12,2
414,12,6,12,1,12,1
415,12,6,12,3,12,3
416,12,6,12,1,12,1
417,12,6,12,1,12,1
418,12,6,12,1,12,1
419,12,6,12,1,12,1
420,12,6,12,1,11,1
421,12,6,12,1,11,4
422,12,6,12,1,12,1
423,12,6,12,3,12,2
424,12,6,12,3,12,1
425,12,6,12,1,12,3
426,12,6,12,3,12,3
427,12,6,10,1,9,3
428,12,6,10,1,12,1
429,12,6,10,1,12,3
430,12,6,10,1,12,3
431,12,6,10,1,12,1
432,12,6,10,1,12,5
433,12,6,10,1,12,1
434,12,6,12,1,12,4
435,12,6,10,1,12,3
436,12,6,10,1,12,3
437,12,6,10,1,12,4
438,12,6,10,1,12,5
439,12,6,10,1,12,5
440,12,6,10,1,12,2
441,12,6,10,1,12,1
442,12,6,10,1,10,1
443,12,6,10,1,12,1
444,12,6,10,3,12,2
445,12,6,10,3,11,1
446,12,6,10,3,11,1
447,12,6,10,1,10,1
448,12,6,10,1,10,1
449,12,6,10,3,9,1
450,12,6,10,1,9,1
451,12,6,10,3,10,1
452,12,1,10,3,9,3
453,11,1,12,3,9,3
454,12,1,12,3,9,3
455,12,1,12,3,9,3
456,12,1,12,3,9,3
457,12,1,12,4,9,3
458,11,1,12,3,9,1
459,10,2,12,3,12,1
460,10,2,10,3,12,1
461,10,2,10,3,12,1
462,10,1,12,3,12,1
463,10,2,12,3,12,1
464,9,2,12,3,12,1
465,9,1,12,3,12,1
466,9,1,12,3,12,1
467,9,2,10,3,12,1
468,9,2,12,3,12,1
469,9,3,12,3,12,1
470,10,2,12,3,12,1
471,10,1,10,3,12,1
472,10,1,12,3,12,1
473,10,2,12,3,12,1
474,10,2,12,3,12,1
475,10,1,12,3,12,1
476,10,1,10,3,12,1
477,10,2,12,3,12,1
478,10,1,12,3,12,1
479,10,2,12,3,12,1
480,10,1,12,3,11,2
481,10,1,12,3,9,3
482,10,1,12,3,10,1
483,10,2,12,3,10,3
484,10,2,10,3,10,1
485,10,1,10,3,10,1
486,10,1,12,3,10,1
487,10,1,12,3,10,1
488,10,1,12,3,11,1
489,10,2,12,3,11,1
490,10,2,12,3,10,1
491,10,1,12,3,10,2
492,10,1,10,3,10,1
493,10,2,12,3,10,1
494,10,2,12,3,10,1
495,10,1,12,3,12,1
496,10,1,12,3,12,2
497,10,1,12,3,12,1
498,10,2,12,3,12,1
499,10,1,12,3,12,1
500,10,2,12,3,12,1
501,11,1,10,3,12,1
502,10,1,12,3,12,1
503,10,2,12,3,12,1
504,10,2,12,3,12,1
505,10,2,12,3,12,1
506,10,2,10,3,12,1
507,10,2,12,3,12,1
508,10,2,12,3,12,1
509,10,2,12,3,12,1
510,12,2,12,3,11,2
511,11,1,12,3,12,1
512,10,1,12,3,12,1
513,10,1,10,3,12,1
514,12,3,10,3,12,1
515,12,1,12,3,12,1
516,12,1,12,3,12,1
517,12,1,10,3,12,1
518,11,1,12,3,12,1
519,11,2,10,3,12,1
520,10,1,12,3,12,1
521,10,1,12,3,12,1
522,10,1,12,3,12,1
523,11,2,12,3,12,1
524,11,1,12,3,12,3
525,12,1,12,3,12,1
526,11,1,12,4,12,1
527,10,1,12,3,12,1
528,11,1,12,3,12,1
529,10,1,12,3,12,1
530,10,2,12,3,12,1
531,10,2,12,3,12,1
532,10,2,10,3,12,1
533,10,2,12,3,12,1
534,11,1,12,3,12,1
535,12,1,12,3,12,1
536,10,2,10,3,12,1
537,10,1,10,3,12,1
538,10,1,12,3,12,1
539,11,1,12,3,12,1
540,10,2,12,3,12,1
541,11,2,12,3,12,1
542,12,2,12,3,12,1
543,10,2,12,3,12,1
544,10,3,10,3,12,1
545,10,2,12,3,12,1
546,10,2,10,3,12,1
547,10,2,10,3,12,1
548,10,3,12,3,12,1
549,10,3,10,3,12,1
550,11,2,12,3,12,1
551,11,2,10,3,12,1
552,11,2,12,3,12,1
553,12,2,10,3,12,1
554,11,3,10,3,11,1
555,10,4,10,3,12,2
556,10,2,10,3,12,1
557,10,2,10,3,12,1
558,10,2,12,3,12,1
559,11,2,12,3,12,1
560,11,2,10,3,12,1
561,10,2,10,3,12,1
562,10,2,12,3,12,3
563,11,2,12,3,12,1
564,11,2,12,3,12,1
565,10,2,12,3,12,1
566,11,2,12,3,12,1
567,9,2,12,3,12,1
568,9,2,10,3,12,1
569,9,2,12,3,12,1
570,11,2,12,3,12,3
571,10,2,12,3,12,1
572,11,2,12,3,12,2
573,11,2,11,3,12,1
574,10,2,12,3,12,2
575,10,2,12,3,12,1
576,10,2,12,3,12,3
577,10,2,12,3,12,5
578,10,2,11,3,12,5
579,10,2,11,3,12,5
580,10,2,11,3,11,5
581,10,2,12,3,12,5
582,10,2,12,3,10,3
583,10,3,12,3,12,5
584,10,2,11,3,12,1
585,10,2,11,3,12,1
586,10,2,11,3,12,2
587,11,2,11,3,12,1
588,12,2,11,3,12,3
589,11,2,11,3,12,2
590,11,2,12,3,12,1
591,11,2,12,3,12,3
592,12,2,12,3,12,3
593,10,3,12,3,12,3
594,12,3,12,3,12,5
595,10,2,12,3,10,1
596,11,2,12,3,10,3
597,12,2,10,3,9,2
598,11,2,12,3,9,2
599,11,2,12,3,9,2
600,11,2,10,3,10,2
601,11,3,12,3,10,4
602,11,2,12,3,12,1
603,11,3,12,3,12,4
604,12,2,12,3,12,3
605,11,2,12,3,12,3
606,10,1,12,3,12,3
607,11,1,12,3,12,3
608,10,2,12,3,12,3
609,11,2,12,3,11,1
610,12,2,12,3,12,1
611,11,2,12,3,12,1
612,12,2,12,3,12,3
613,10,2,12,3,12,3
614,11,2,12,3,12,3
615,11,2,12,3,12,3
616,11,2,12,3,12,1
617,11,2,12,3,12,1
618,10,2,12,3,12,1
619,11,2,12,3,12,2
620,10,2,12,3,12,1
621,10,2,12,3,12,1
622,12,3,12,3,12,1
623,12,2,10,3,12,1
624,10,2,12,3,12,2
625,11,2,10,3,12,1
626,11,2,10,3,12,1
627,11,2,11,3,12,1
628,10,2,10,3,11,1
629,10,2,11,3,12,1
630,11,2,11,3,12,1
631,11,2,10,3,12,1
632,11,2,11,3,10,1
633,12,2,10,3,11,1
634,11,2,10,3,12,1
635,10,2,10,3,12,1
636,10,2,11,3,12,1
637,10,2,11,3,10,1
638,10,3,10,3,12,1
639,10,1,10,3,12,1
640,10,1,12,4,12,1
641,10,1,10,3,12,1
642,11,1,10,3,12,1
643,12,1,12,3,12,1
644,11,1,12,3,12,1
645,11,1,12,3,12,1
646,11,1,12,4,12,1
647,10,1,12,3,12,1
648,10,1,10,4,12,1
649,10,1,12,3,12,1
650,11,1,12,3,12,1
651,11,1,12,4,12,1
652,10,1,12,3,12,1
653,10,1,12,3,12,1
654,11,1,12,3,12,1
655,11,1,10,3,12,1
656,11,1,10,4,12,1
657,11,1,12,3,12,1
658,10,1,10,3,12,1
659,10,1,10,3,12,1
660,10,1,12,3,12,1
661,10,1,12,3,12,1
662,10,1,12,3,12,1
663,10,1,10,3,12,1
664,10,1,12,3,12,1
665,10,1,12,3,12,1
666,10,1,12,3,12,1
667,10,1,12,3,12,1
668,10,1,12,3,12,1
669,10,1,12,3,12,1
670,11,1,12,3,12,1
671,10,1,12,3,12,1
672,11,1,12,3,12,1
673,11,1,12,3,12,1
674,11,1,12,3,12,1
675,10,1,12,3,12,1
676,10,1,12,3,12,1
677,10,1,12,3,12,1
678,11,1,12,3,12,1
679,11,1,10,3,12,1
680,10,1,10,3,12,1
681,11,1,12,3,12,1
682,11,1,12,3,12,1
683,11,1,12,3,12,1
684,11,1,12,3,12,1
685,11,1,12,3,12,1
686,11,1,12,3,12,1
687,11,1,12,3,12,1
688,12,1,12,3,12,1
689,11,1,12,3,12,1
690,11,1,12,3,12,1
691,11,1,12,3,12,1
692,12,1,12,3,12,1
693,12,1,12,3,12,1
694,11,1,10,3,12,1
695,11,1,10,3,12,1
696,11,1,12,3,12,1
697,11,1,10,3,12,1
698,11,1,12,3,12,3
699,10,1,10,3,12,1
700,11,1,10,3,12,1
701,12,1,12,3,12,1
702,12,1,12,4,12,2
703,11,1,12,3,12,1
704,11,1,10,3,12,6
705,11,1,12,3,12,1
706,12,1,12,3,12,1
707,10,1,12,1,12,1
708,12,1,12,3,12,3
709,11,1,12,1,12,2
710,11,1,12,3,12,1
711,12,1,10,3,12,1
712,11,1,12,3,12,2
713,11,1,12,3,12,1
714,11,1,12,3,12,2
715,11,1,12,3,12,1
716,10,1,12,3,12,1
717,11,1,12,4,12,1
718,11,1,12,3,12,5
719,12,1,12,3,12,4
720,12,1,12,3,12,1
721,11,1,10,4,12,1
722,11,1,12,3,12,1
723,11,1,12,3,12,1
724,10,1,12,3,12,1
